section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572402815480,-1.768293,-2.012195,-3.170732,-0.032104,-0.903564,0.147705,8.959888791190025,9.199208270430915
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572407843480,-1.768293,-2.012195,-2.987805,-0.030334,-0.905029,0.149536,8.835131260468245,9.491170410454345
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572412871480,-1.768293,-1.768293,-2.865854,-0.025269,-0.910828,0.149292,8.505206821789614,9.267376389506182
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572417899480,-1.52439,-1.585366,-2.926829,-0.027405,-0.90918,0.148071,8.921398006909783,9.222389507959406
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572422927480,-1.219512,-1.341463,-2.987805,-0.025452,-0.904968,0.150574,8.589855197079402,9.429402541485842
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572427955480,-1.158537,-1.036585,-2.987805,-0.023438,-0.899231,0.147339,8.332387281714205,9.165854356711122
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572432983480,-1.097561,-0.731707,-3.109756,-0.025513,-0.899597,0.148499,8.613071513965536,9.388123502325612
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572438011480,-1.097561,-0.609756,-3.170732,-0.029602,-0.9021,0.147522,8.971989954998378,9.22644953787767
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572443039480,-1.097561,-0.304878,-2.987805,-0.030212,-0.903625,0.145874,8.643992014410713,9.005161552905633
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572448067480,-1.097561,-0.121951,-3.04878,-0.02948,-0.906128,0.146973,8.871494759258297,9.25789138916116
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572453095480,-1.158537,-0.243902,-3.04878,-0.026978,-0.905029,0.147278,8.423404463617715,9.217143350157414
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572458123480,-0.97561,-0.243902,-3.04878,-0.028809,-0.90741,0.149353,8.799563497973452,9.348917409828374
